Query,Interest,Year,ID,Title,Link,Funding,Organization,PI,ActivityCode
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11237269,BEACON: Building Evidence for Optimal Genomic Screening Implementation in Primary Care,https://reporter.nih.gov/project-details/11237269,664325,WAKE FOREST UNIVERSITY HEALTH SCIENCES,,U01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11290145,Requirements for ZNF292 in cortical development and mechanisms of pathogenesis in neurodevelopmental disorders,https://reporter.nih.gov/project-details/11290145,763894,WASHINGTON UNIVERSITY,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11291772,Cellular and molecular mechanisms of CCDC120-associated osteopetrosis,https://reporter.nih.gov/project-details/11291772,337072,SOUTHERN CALIFORNIA INST FOR RES/EDUC,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11291912,Developmental characterization of synapses between neurons and oligodendrocyte precursor cells,https://reporter.nih.gov/project-details/11291912,528000,COLD SPRING HARBOR LABORATORY,,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11338722,Defining the Role of Non-Clustered Protocadherins in Forebrain Circuit Assembly,https://reporter.nih.gov/project-details/11338722,513602,YALE UNIVERSITY,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11283124,Environmental sampling for the fungal pathogen Coccidioides spp. in New Mexico,https://reporter.nih.gov/project-details/11283124,520223,"TRIAD NATIONAL SECURITY, LLC",,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11282313,AI-guided structural biology of Cav1.2,https://reporter.nih.gov/project-details/11282313,233250,UNIVERSITY OF WASHINGTON,,R03
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11297803,TACTIC: Tuberculosis Active Case Tracking via Interpersonal Connections,https://reporter.nih.gov/project-details/11297803,487764,BOSTON MEDICAL CENTER,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11344512,Defining Microbial and Host Pathways Driving Asymptomatic C. difficile Colonization Associated with Aging and High-Sugar Diets,https://reporter.nih.gov/project-details/11344512,649186,UNIVERSITY OF LOUISVILLE,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11346605,Causal mechanisms driving germline predisposition to myeloproliferative disorders,https://reporter.nih.gov/project-details/11346605,561407,ALBERT EINSTEIN COLLEGE OF MEDICINE,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11354081,Developing a novel technology for studying T cell differentiation in vivo,https://reporter.nih.gov/project-details/11354081,154394,NORTHWESTERN UNIVERSITY,,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11391935,Targeting VIP–VPAC Signaling to Reverse Immune Exclusion and Enhance Immunotherapy Response in Pancreatic Cancer,https://reporter.nih.gov/project-details/11391935,636358,EMORY UNIVERSITY,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11239406,The Yale Population Genomic Screening Pilot: Outcomes and Best Practices for Implementation Across Different Clinical Settings.,https://reporter.nih.gov/project-details/11239406,940555,YALE UNIVERSITY,,U01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11291374,Genetic Predictors of Exercise and Physical Activity Dropout and Adherence,https://reporter.nih.gov/project-details/11291374,242250,DUKE UNIVERSITY,,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11351274,Mechanisms of antigen-specific T cell activation in MOGAD,https://reporter.nih.gov/project-details/11351274,190836,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",,K08
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11358648,Development of a multi-modal mouse model of cluster headache,https://reporter.nih.gov/project-details/11358648,392223,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,,R61
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11367210,Structural and functional characterization of autoimmune antibodies against NMDAR,https://reporter.nih.gov/project-details/11367210,929257,COLD SPRING HARBOR LABORATORY,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11407888,ATPase Chromatin Remodeling Complexes as Modulators of HIV-1 Latency and Therapeutic Targets,https://reporter.nih.gov/project-details/11407888,3389992,UNIVERSITY OF FLORIDA,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11367404,Multimodal computational models for early prediction of peritoneal recurrence in gastric cancer,https://reporter.nih.gov/project-details/11367404,513915,WAKE FOREST UNIVERSITY HEALTH SCIENCES,,R37
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11420767,TAR RNA binding to INI1/SMARCB1 and its role in HIV-1 transcription and latency reactivation,https://reporter.nih.gov/project-details/11420767,3204071,ALBERT EINSTEIN COLLEGE OF MEDICINE,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11294412,Targeting disulfidptosis in cancer: mechanisms and preclinical translation,https://reporter.nih.gov/project-details/11294412,621632,UNIVERSITY OF TX MD ANDERSON CAN CTR,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11351631,Primary cilia protein IFT88 governs smooth muscle phenotype and vascular remodeling,https://reporter.nih.gov/project-details/11351631,126177,YALE UNIVERSITY,,K99
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11388452,Specific Affinity Requirements for Antibody Somatic Hypermutation,https://reporter.nih.gov/project-details/11388452,3001538,BRIGHAM AND WOMEN'S HOSPITAL,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11470303,Structure-Based Development of Nucleotide-Competing Inhibitors Against HIV-1 and LINE-1 Reverse Transcriptases,https://reporter.nih.gov/project-details/11470303,235500,RUTGERS BIOMEDICAL AND HEALTH SCIENCES,,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11368996,Response and defense mechanisms of extraintestinal Escherichia coli to reactive oxygen and chlorine species,https://reporter.nih.gov/project-details/11368996,555000,ILLINOIS STATE UNIVERSITY,,R15
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11352441,Chromatin-Based Mechanisms Linking Transcriptional Dysregulation to Genome Instability in Neurodevelopmental Disorders.,https://reporter.nih.gov/project-details/11352441,116510,BROWN UNIVERSITY,,K99
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11373945,Development of a synthetic human centromere,https://reporter.nih.gov/project-details/11373945,240000,NORTHWESTERN UNIVERSITY,,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11374005,Multi-modal Micro Electrode Fluidic Array (MEFA) Shells for Brain Organoids,https://reporter.nih.gov/project-details/11374005,427563,JOHNS HOPKINS UNIVERSITY,,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11374605,Pathogenic mechanisms of expanded ZFHX3 in SCA4 cerebellar organoids,https://reporter.nih.gov/project-details/11374605,423500,UTAH STATE HIGHER EDUCATION SYSTEM--UNIVERSITY OF UTAH,,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11405547,HIV-1 Matrix and Envelope Protein Interactions,https://reporter.nih.gov/project-details/11405547,708281,OREGON HEALTH & SCIENCE UNIVERSITY,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11239234,PopScreen: Implementing Population Genomic Screening in Primary Care,https://reporter.nih.gov/project-details/11239234,1008584,BRIGHAM AND WOMEN'S HOSPITAL,,U01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11339693,"Borrelia burgdorferi genotypic diversity, pathogenesis, and host cellular responses",https://reporter.nih.gov/project-details/11339693,715313,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11275420,BKCa Channel Contributions to Cerebellar Regulated TSC-Associated Neuropsychiatric Disorders,https://reporter.nih.gov/project-details/11275420,635505,UT SOUTHWESTERN MEDICAL CENTER,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11340291,Validating Causality of Disputed Mitochondrial Variants in Inborn Errors of Metabolism,https://reporter.nih.gov/project-details/11340291,722631,MEDICAL COLLEGE OF WISCONSIN,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11350106,Pathogenesis and Assessment of Activity in Celiac Disease (CeD),https://reporter.nih.gov/project-details/11350106,2334896,YALE UNIVERSITY,,P01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11364842,Transcriptional control of activation induced deaminase (AID) function,https://reporter.nih.gov/project-details/11364842,751919,YALE UNIVERSITY,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11373134,I3-BC: Image-Based Infiltrating Immune Cell Detection and Outcomes in Breast Cancer Clinical Trials,https://reporter.nih.gov/project-details/11373134,394695,OHIO STATE UNIVERSITY,,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11343020,Targeting the Molecular Crosstalk Between EZHIP and PRC2 in PFA Ependymoma,https://reporter.nih.gov/project-details/11343020,384065,UT SOUTHWESTERN MEDICAL CENTER,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11364366,Staphylococcus aureus metabolic requirements during skin colonization,https://reporter.nih.gov/project-details/11364366,739968,UNIVERSITY OF COLORADO DENVER,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11386240,Characterizing the role of endogenous nociceptin opioid release from the central amygdala in reward outcome encoding,https://reporter.nih.gov/project-details/11386240,50114,UNIVERSITY OF WASHINGTON,,F31
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11352142,Characterizing adipocyte heterogeneity in response to metabolic stress,https://reporter.nih.gov/project-details/11352142,123000,UNIVERSITY OF CHICAGO,,R03
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11368399,From B-cell decisions to antibody repertoires,https://reporter.nih.gov/project-details/11368399,744483,UNIVERSITY OF CALIFORNIA LOS ANGELES,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11279349,Dissecting the non-mutational mechanisms of benign-to-malignant transition in colon cancer,https://reporter.nih.gov/project-details/11279349,704182,COLD SPRING HARBOR LABORATORY,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11340619,Molecular Mechanisms of Delta-2 Receptor Dysfunction in Neurological Diseases,https://reporter.nih.gov/project-details/11340619,388646,JOHNS HOPKINS UNIVERSITY,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11361324,Deconstructing nuclear speckles contribution to muscle stem cell activation across lifespan,https://reporter.nih.gov/project-details/11361324,630434,UNIVERSITY OF MICHIGAN AT ANN ARBOR,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11367693,Immune Regulatory Functions of DOCK-STAT complexes,https://reporter.nih.gov/project-details/11367693,700957,BOSTON CHILDREN'S HOSPITAL,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11368160,Tregs: The force is strong in this one,https://reporter.nih.gov/project-details/11368160,3072554,UTAH STATE HIGHER EDUCATION SYSTEM--UNIVERSITY OF UTAH,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11349416,Drug repurposing for ALD: can gene families share therapies?,https://reporter.nih.gov/project-details/11349416,445500,HUGO W. MOSER RES INST KENNEDY KRIEGER,,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11345970,AURKA/KAP1 signaling in breast cancer metastasis,https://reporter.nih.gov/project-details/11345970,443359,WEST VIRGINIA UNIVERSITY,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11355011,Defining T-cell Interactions and Targets in Drug Reaction with Eosinophilia and Systemic Symptoms Using Single-Cell and Spatial Profiling,https://reporter.nih.gov/project-details/11355011,262500,VANDERBILT UNIVERSITY MEDICAL CENTER,,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11364749,Mechansim of  RING-between-RING  ubiquitin signaling  in DNA repair,https://reporter.nih.gov/project-details/11364749,482637,UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11373883,Mechanism of Transposon Silencing in the Brain,https://reporter.nih.gov/project-details/11373883,415250,MEDICAL UNIVERSITY OF SOUTH CAROLINA,,R21
