Query,Interest,Year,ID,Title,Link,Status,Phase,Conditions
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT03082534,Pembrolizumab Combined With Cetuximab for Treatment of Recurrent/Metastatic Head & Neck Squamous Cell Carcinoma,https://clinicaltrials.gov/study/NCT03082534,COMPLETED,PHASE2,HNSCC; Lip SCC; Oral Cavity Cancer; Oropharynx Cancer; Larynx Cancer; Hypopharynx Cancer; Nasopharynx Cancer; Sinonasal Carcinoma; Cutaneous Squamous Cell Carcinoma; Head and Neck Neoplasms; Head and Neck Cancer; Head and Neck Squamous Cell Carcinoma
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT07126821,A Vision-Language Foundation Model for Brain Disease Diagnosis From Multimodal Data,https://clinicaltrials.gov/study/NCT07126821,RECRUITING,,Brain (Nervous System) Cancers; Brain Arterial Disease; Neuro-Degenerative Disease; Brain Tumors; Brain Diseases; Neurological di
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT05172414,A Novel Fecal Sample Collection Method for Metagenomic Analyses,https://clinicaltrials.gov/study/NCT05172414,COMPLETED,,Healthy
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT04561284,Carbohydrate-induced Resilience of the Gut Microbiome After Antibiotics Use,https://clinicaltrials.gov/study/NCT04561284,COMPLETED,NA,Overweight and Obesity; Insulin Resistance; Dysbiosis
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT03067584,Genetic Study of Familial Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT03067584,COMPLETED,,Acute Lymphoblastic Leukemia (ALL)
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT03519412,Pembrolizumab in MMR-Proficient Metastatic Colorectal Cancer Pharmacologically Primed to Trigger Hypermutation Status,https://clinicaltrials.gov/study/NCT03519412,COMPLETED,PHASE2,Colorectal Neoplasms; Microsatellite Instability
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT07053436,Horizon Two: HR NDMM (MMRC-100),https://clinicaltrials.gov/study/NCT07053436,RECRUITING,PHASE2,High Risk Newly Diagnosed Multiple Myeloma
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT05673811,Study of Nab-Paclitaxel and Gemcitabine and Plus/Minus VCN-01 in Patients With Metastatic Pancreatic Cancer,https://clinicaltrials.gov/study/NCT05673811,COMPLETED,PHASE2,Pancreatic Adenocarcinoma; Metastatic
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT04608409,Dose Escalation of Lapatinib With Paclitaxel in Ovarian Cancer,https://clinicaltrials.gov/study/NCT04608409,COMPLETED,PHASE1,Ovarian Cancer
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT02944032,Efficacy of Computerized Cognitive Training and Stimulant Medication in Neurofibromatosis Type 1,https://clinicaltrials.gov/study/NCT02944032,COMPLETED,NA,Neurofibromatosis Type 1
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT00672087,Diagnostic Challenges in IC (and Male CPPS),https://clinicaltrials.gov/study/NCT00672087,COMPLETED,,"Chronic Prostatitis With Chronic Pelvic Pain Syndrome; Chronic Bacterial Prostatitis; Asymptomatic Inflammatory Prostatitis; Painful Bladder Syndrome; Cystitis, Interstitial"
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT01407432,Impact of Folates in the Care of the Male Infertility,https://clinicaltrials.gov/study/NCT01407432,COMPLETED,PHASE3,Male Infertility
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT05460221,Antihypertensive and Cardioprotective Evaluation of a Functional Olive Oil,https://clinicaltrials.gov/study/NCT05460221,COMPLETED,NA,Hypertension
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT04873492,From Genetics to Transcriptomics to Unravel the Mechanisms Behind a Poor Outcome in Multiple Sclerosis,https://clinicaltrials.gov/study/NCT04873492,RECRUITING,NA,Multiple Sclerosis
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT03690999,The RAMP Study - Rejuvenation of the Aging Microbiota With Prebiotics,https://clinicaltrials.gov/study/NCT03690999,COMPLETED,NA,Microbiome; Immune Function; Inflammation
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT00687414,Evaluation of Formin Gene Status and Expression in Myeloproliferative and Myelodysplastic Disorders,https://clinicaltrials.gov/study/NCT00687414,COMPLETED,,Myeloproliferative Disorder; MDS; AML
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT05780606,Single-cell Transcriptome Identification of UV- and Visible-light-induced Genes in Human Melanocytes in Vivo,https://clinicaltrials.gov/study/NCT05780606,COMPLETED,NA,Skin Diseases
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT04912752,Copy Number Variation in CHRNA7 Gene in Migraine and Gene Expression,https://clinicaltrials.gov/study/NCT04912752,COMPLETED,NA,Migraine
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT03190811,Anti-PD-1 Alone or Combined With Autologous DC-CIK Cell Therapy in Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT03190811,COMPLETED,PHASE1; PHASE2,Neoplasms
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT05558644,Characterisation of the Immune Infiltrate and Molecular Features of Thymic Epithelial Tumors Tumors (TETs) (IMMUNO-TET),https://clinicaltrials.gov/study/NCT05558644,RECRUITING,NA,Cancer
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06163534,A Longitudinal Multi-Omic Biomarker Profiling Study of Patients With Head & Neck Squamous Cell Carcinoma (HNSCC),https://clinicaltrials.gov/study/NCT06163534,RECRUITING,,Head and Neck Squamous Cell Carcinoma
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT04062344,Acquisition of Resistant Enterobacteria During Oral Drug Challenge for Betalactams in Children,https://clinicaltrials.gov/study/NCT04062344,COMPLETED,,Betalactams Hypersensitivity
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT07469709,"A Study of Biological, Genetic, and Constitutional Factors and Non-invasive Monitoring to Assess Personal Cancer Risks",https://clinicaltrials.gov/study/NCT07469709,RECRUITING,,"Breast Cancer; Colo-rectal Cancer; Ovarian Cancer; Melanoma (Skin Cancer); Non-Small Cell Lung Cancer (MeSH Term: Carcinoma, Non-Small-Cell Lung)"
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT01646021,"Study of Ibrutinib (a Bruton's Tyrosine Kinase Inhibitor), Versus Temsirolimus in Patients With Relapsed or Refractory Mantle Cell Lymphoma Who Have Received at Least One Prior Therapy",https://clinicaltrials.gov/study/NCT01646021,COMPLETED,PHASE3,Mantle Cell Lymphoma
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06505330,Respiratory Tract Microbiome and Probiotics in Children With Cleft Palate,https://clinicaltrials.gov/study/NCT06505330,RECRUITING,NA,Otitis Media in Children; Cleft Palate Children
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT07378592,Driving Simulator Training For Adults With Acquired Brain Injuries,https://clinicaltrials.gov/study/NCT07378592,RECRUITING,NA,Acquired Brain Injury
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06055036,Black Impact: The Mechanisms Underlying Psychosocial Stress Reduction in a Cardiovascular Health Intervention,https://clinicaltrials.gov/study/NCT06055036,RECRUITING,NA,"Cardiometabolic Syndrome; Physical Inactivity; Hypertension; Type 2 Diabetes; PreDiabetes; Obesity; Cardiovascular Diseases; Smoking; Sleep; Hyperlipidemias; Diet, Healthy; Blood Pressure"
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT02809716,High Definition Single Cell Analysis in Colorectal Cancer,https://clinicaltrials.gov/study/NCT02809716,COMPLETED,,Metastatic Carcinoma in the Liver; Stage IV Colorectal Cancer
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06831292,The Effects of Diet on Small Non-coding RNA i Sperm Cells and the Possible Effects on Reproductive Success: Diet Intervention Effects on Sperm,https://clinicaltrials.gov/study/NCT06831292,RECRUITING,NA,Changes in sncRNA in Sperm; Male Fertility; RNA Profile
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06669663,Hypoxia Driven Metabolic Response in Oesophagogastric Adenocarcinoma,https://clinicaltrials.gov/study/NCT06669663,RECRUITING,,OESOPHAGO-GASTRIC CARCINOMA
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT00255463,Phase II Neoadjuvant ER+/PgR + Arimidex +/- Iressa Study,https://clinicaltrials.gov/study/NCT00255463,COMPLETED,PHASE2,Breast Cancer
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT07255716,Postoperative Infections and Immune Profiles in Patients Undergoing LVAD Implantation,https://clinicaltrials.gov/study/NCT07255716,ACTIVE_NOT_RECRUITING,,Infection; Driveline Heart-assisted Device Related Infection; Pneumonia; Sepsis
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06140537,Efficacy and Mechanisms of Dapagliflozin in Promoting Kidney Function and Cardiovascular Health in Kidney Transplant Recipients,https://clinicaltrials.gov/study/NCT06140537,RECRUITING,PHASE4,Kidney Transplant; Complications; Vascular Diseases; Diabetes
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT01289067,"Utilizing A Genomic Sig for ""BRCAness"" to Eval the Efficacy of Satraplatin in Men With Met. Castration Resistant Prostate Ca",https://clinicaltrials.gov/study/NCT01289067,COMPLETED,PHASE2,Prostate Cancer
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT00371566,A Study Of Lapatinib Versus Placebo Followed By Chemoradiation In Patients With Locally Advanced Head And Neck Cancer,https://clinicaltrials.gov/study/NCT00371566,COMPLETED,PHASE2,Squamous Cell Carcinoma of Head and Neck
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT00195637,Intravenous Immune Globulin to Treat Hereditary Inclusion Body Myopathy,https://clinicaltrials.gov/study/NCT00195637,COMPLETED,PHASE1,Hereditary Inclusion Body Myopathy
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06895772,Microbial Community Characteristics in Intestinal Mucosal Tissue of Patients With CD,https://clinicaltrials.gov/study/NCT06895772,ACTIVE_NOT_RECRUITING,,Crohn&#39;s Disease (CD)
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT07486557,"Cistanche Deserticola Extract Combined With Aerobic Exercise Improves Body Composition, Insulin Resistance and Inflammation in Men With Central Obesity",https://clinicaltrials.gov/study/NCT07486557,COMPLETED,NA,Central Obesity; Insulin Resistance; Inflammation
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT07374705,Disentangling the Effect of Brain Insulin Resistance on Brain Health,https://clinicaltrials.gov/study/NCT07374705,RECRUITING,,Diabetes Type 2; Diabetes Type 1
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT05661305,Aswan Heart Centre - Egyptian Healthy Volunteers,https://clinicaltrials.gov/study/NCT05661305,RECRUITING,,Genetic Predisposition to Disease
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06753422,"Kefir, Gut Microbiota, and Athletic Performance in Soccer Players",https://clinicaltrials.gov/study/NCT06753422,COMPLETED,NA,Gut Microbiota Diversity and Composition; Athletic Performance; Functional Food Intervention (Kefir); Body Composition; Dietary Intake Patterns
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT02997995,Durvalumab and Endocrine Therapy in ER+/Her2- Breast Cancer After CD8+ Infiltration Effective Immune-Attractant Exposure,https://clinicaltrials.gov/study/NCT02997995,COMPLETED,PHASE2,Breast Cancer; Estrogen Receptor Positive Tumor; Menopause; Hormone Antagonist
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT07364357,A Phase I Study of CREPT-618 in Locally Advanced HCC,https://clinicaltrials.gov/study/NCT07364357,RECRUITING,PHASE1,Hepatocellular Carcinoma (HCC)
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT02947607,Investigation of the Role of the Microbiome in the Pathogenesis of Colorectal Adenoma and Carcinoma,https://clinicaltrials.gov/study/NCT02947607,COMPLETED,,Colorectal Adenoma and Carcinoma
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT07116200,Effectiveness of an Early Reading Intervention for Young Children With Intellectual Disabilities Who Need or Use Augmentative and Alternative Communication,https://clinicaltrials.gov/study/NCT07116200,ACTIVE_NOT_RECRUITING,NA,Education
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT01622894,Genetics of Mendelian Forms of Young Onset Alzheimer Disease,https://clinicaltrials.gov/study/NCT01622894,COMPLETED,NA,Autosomal Dominant Cases of Alzheimer 's Disease
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT05062629,United States Hypophosphatasia Molecular Research Center,https://clinicaltrials.gov/study/NCT05062629,COMPLETED,,Hypophosphatasia
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT03943537,Effects of Intranasal Insulin on Neuroimaging Markers and Cognition in Patients With Psychotic Disorders,https://clinicaltrials.gov/study/NCT03943537,COMPLETED,PHASE2,Psychosis; Schizophrenia; Schizo Affective Disorder; Bipolar I Disorder
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT05750719,BRCA and NACT in TNBC Patients,https://clinicaltrials.gov/study/NCT05750719,COMPLETED,,Triple-Negative Breast Cancer
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT03465683,Transmission of ESBL-producing Enterobacteriaceae,https://clinicaltrials.gov/study/NCT03465683,RECRUITING,,Hospital Acquired Infection
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT05589766,N-DOSE: A Dose Optimization Trial of Nicotinamide Riboside in Parkinson's Disease,https://clinicaltrials.gov/study/NCT05589766,COMPLETED,PHASE2,Parkinson Disease
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT07555431,Dolutegravir Versus Dolutegravir in Combination With Tenofovir for the Treatment of HTLV-1 Infection,https://clinicaltrials.gov/study/NCT07555431,RECRUITING,PHASE2,HTLV-1 Infection; HTLV I Associated Myelopathies; HTLV I Associated T Cell Leukemia Lymphoma; Neuritis
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT05481502,An Exploratory Study to Evaluate Immune Determinants of the Response to Adoptive Cell Therapy (ACT) in Solid and Hematologic Tumors,https://clinicaltrials.gov/study/NCT05481502,RECRUITING,NA,"Solid Tumor, Adult; Solid Tumor, Childhood; Hematologic Cancer"
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT00611702,Genomics of Chronic Renal Allograft Rejection (The GoCAR Study),https://clinicaltrials.gov/study/NCT00611702,COMPLETED,,Kidney Transplantation
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT04920539,In Vivo Study of THC-induced Immune-genome Changes at Single Cell Solution in HIV-infected Humans,https://clinicaltrials.gov/study/NCT04920539,COMPLETED,PHASE1,HIV Infections; Healthy
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT00681577,Histocompatibility Leukocyte Antigen (HLA)-A*2402 Restricted Peptide Vaccine Therapy in Patients With Gastric Cancer,https://clinicaltrials.gov/study/NCT00681577,COMPLETED,PHASE1; PHASE2,Gastric Cancer
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT03374475,A Study to Investigate the Antidepressant Mechanism-of-action of JNJ-42847922 in Participants With Major Depressive Disorder,https://clinicaltrials.gov/study/NCT03374475,COMPLETED,PHASE1,"Depressive Disorder, Major"
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT07418775,"Tumor Genomics, Individual Risk Factors, and External Drivers of Health on Health Outcomes for Patients With Meningioma",https://clinicaltrials.gov/study/NCT07418775,RECRUITING,,Meningioma of Brain; Meningioma; Brain Tumor
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT00759200,Safety and Efficacy of Albumin Interferon Administered Every 4 Weeks in Genotype 2/3 Hepatitis C Patients,https://clinicaltrials.gov/study/NCT00759200,COMPLETED,PHASE2,Chronic Hepatitis C
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06897800,"Vaginal Microbiota and Its Association with Pap Smear Results, Human Papillomavirus, Vitamins, and Metabolic Mark",https://clinicaltrials.gov/study/NCT06897800,COMPLETED,,Vaginal Microbiome
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06807307,Transcriptional Framework for the Molecular Diagnosis of Response to Immunotherapy in Lung Cancer With Agnostic Potential,https://clinicaltrials.gov/study/NCT06807307,RECRUITING,,NSCLC
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06008392,"INTERogating Cancer for Etiology, Prevention and Therapy Navigation",https://clinicaltrials.gov/study/NCT06008392,RECRUITING,,Cancer; Cancer Gene Mutation; PAN Gene Mutation; Hematopoietic and Lymphoid System Neoplasm; Malignant Solid Neoplasm
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT02597270,"An Observational/Non-interventional, Study of NS3/4a Protease and NS5A Protein of Hepatitis C Virus in Brazilian Participants With Chronic HCV Infection",https://clinicaltrials.gov/study/NCT02597270,COMPLETED,,Hepatitis C Virus
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06289283,Microbiota in Urine and Urothelium Can be a Factor for Induction of Urinary Bladder Cancer. The Study Will Examine Urine and Bladder Cancer Tissues From Male Patients and Urine of Controls Using Whole,https://clinicaltrials.gov/study/NCT06289283,ACTIVE_NOT_RECRUITING,,Urinary Bladder Neoplasms; Microtia
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06373822,New Perspectives in Adenomyosis Pathogenesis With Epigenetic Analysis and miRNAs,https://clinicaltrials.gov/study/NCT06373822,RECRUITING,,Adenomyosis
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT04585477,Adjuvant ctDNA-Adapted Personalized Treatment in Early Stage NSCLC (ADAPT-E),https://clinicaltrials.gov/study/NCT04585477,RECRUITING,PHASE2,Non-small Cell Lung Cancer; Non-small Cell Lung Cancer Stage I; Non-small Cell Lung Cancer Stage II; Non-small Cell Lung Cancer Stage III
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT03425201,Niraparib in Combination with Cabozantinib (XL184) in Patients with Advanced Urothelial Cancer (NICARAGUA),https://clinicaltrials.gov/study/NCT03425201,COMPLETED,PHASE1; PHASE2,Urothelial Cancer
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT04336228,The Role of Serotonin in Compulsive Behavior in Humans: Underlying Brain Mechanisms,https://clinicaltrials.gov/study/NCT04336228,ACTIVE_NOT_RECRUITING,PHASE4,Obsessive-Compulsive Disorder/High Compulsive Individuals; Healthy Individuals
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT04946773,Deep Liver Phenotyping and Immunology Study,https://clinicaltrials.gov/study/NCT04946773,RECRUITING,,Hepatocellular Carcinoma; Cholangiocarcinoma
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT05652569,CATCH: Implementation of Genomics-guided Precision Medicine in Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT05652569,RECRUITING,,Metastatic Breast Cancer
