Query,Interest,Year,ID,Title,Link,Journal,Authors,DOI
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2024,39085047,The rise and future of CRISPR-based approaches for high-throughput genomics.,https://pubmed.ncbi.nlm.nih.gov/39085047/,FEMS Microbiol Rev,Vercauteren S; Fiesack S; Maroc L; Verstraeten N; Dewachter L,10.1093/femsre/fuae020
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2023,36928506,Analyzing CRISPR screens in non-conventional microbes.,https://pubmed.ncbi.nlm.nih.gov/36928506/,J Ind Microbiol Biotechnol,Trivedi V; Ramesh A; Wheeldon I,10.1093/jimb/kuad006
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2024,39426911,CRISPR-based functional genomics for schistosomes and related flatworms.,https://pubmed.ncbi.nlm.nih.gov/39426911/,Trends Parasitol,Ittiprasert W; Brindley PJ,10.1016/j.pt.2024.09.010
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2022,36417506,Application of combined CRISPR screening for genetic and chemical-genetic interaction profiling in Mycobacterium tuberculosis.,https://pubmed.ncbi.nlm.nih.gov/36417506/,Sci Adv,Yan MY; Zheng D; Li SS; Ding XY; Wang CL,10.1126/sciadv.add5907
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2022,35894642,ColocQuiaL: a QTL-GWAS colocalization pipeline.,https://pubmed.ncbi.nlm.nih.gov/35894642/,Bioinformatics,Chen BY; Bone WP; Lorenz K; Levin M; Ritchie MD,10.1093/bioinformatics/btac512
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2024,39223394,Revolutionizing soybean genomics: How CRISPR and advanced sequencing are unlocking new potential.,https://pubmed.ncbi.nlm.nih.gov/39223394/,Funct Integr Genomics,Razzaq MK; Babur MN; Awan MJA; Raza G; Mobeen M,10.1007/s10142-024-01435-7
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,40745001,CRISPR-based functional genomics tools in vertebrate models.,https://pubmed.ncbi.nlm.nih.gov/40745001/,Exp Mol Med,Varshney GK; Burgess SM,10.1038/s12276-025-01514-0
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,33712570,Integration of Alzheimer's disease genetics and myeloid genomics identifies disease risk regulatory elements and genes.,https://pubmed.ncbi.nlm.nih.gov/33712570/,Nat Commun,Novikova G; Kapoor M; Tcw J; Abud EM; Efthymiou AG,10.1038/s41467-021-21823-y
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2024,38965442,CRISPR-array-mediated imaging of non-repetitive and multiplex genomic loci in living cells.,https://pubmed.ncbi.nlm.nih.gov/38965442/,Nat Methods,Yang LZ; Min YH; Liu YX; Gao BQ; Liu XQ,10.1038/s41592-024-02333-3
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2022,35780428,Extraction of CRISPR-targeted sequences from the metagenome.,https://pubmed.ncbi.nlm.nih.gov/35780428/,STAR Protoc,Sugimoto R; Nishimura L; Nguyen PT; Inoue I,10.1016/j.xpro.2022.101525
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020,32394244,Advances in technologies for 3D genomics research.,https://pubmed.ncbi.nlm.nih.gov/32394244/,Sci China Life Sci,Zhang Y; Li G,10.1007/s11427-019-1704-2
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020,32420598,Functional genomics in autoimmune diseases.,https://pubmed.ncbi.nlm.nih.gov/32420598/,Hum Mol Genet,Ding J; Frantzeskos A; Orozco G,10.1093/hmg/ddaa097
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2023,37501370,Plant genome resequencing and population genomics: Current status and future prospects.,https://pubmed.ncbi.nlm.nih.gov/37501370/,Mol Plant,Song B; Ning W; Wei D; Jiang M; Zhu K,10.1016/j.molp.2023.07.009
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2022,36479127,High-content CRISPR screening in tumor immunology.,https://pubmed.ncbi.nlm.nih.gov/36479127/,Front Immunol,Holcomb EA; Pearson AN; Jungles KM; Tate A; James J,10.3389/fimmu.2022.1041451
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2024,39395408,Gene regulatory network inference from CRISPR perturbations in primary CD4(+) T cells elucidates the genomic basis of immune disease.,https://pubmed.ncbi.nlm.nih.gov/39395408/,Cell Genom,Weinstock JS; Arce MM; Freimer JW; Ota M; Marson A,10.1016/j.xgen.2024.100671
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,32424235,Translational genomics and beyond in bipolar disorder.,https://pubmed.ncbi.nlm.nih.gov/32424235/,Mol Psychiatry,Zhang C; Xiao X; Li T; Li M,10.1038/s41380-020-0782-9
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020,32858412,CRISPR screens in the era of microbiomes.,https://pubmed.ncbi.nlm.nih.gov/32858412/,Curr Opin Microbiol,Rousset F; Bikard D,10.1016/j.mib.2020.07.009
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,34845024,Metagenomic discovery of CRISPR-associated transposons.,https://pubmed.ncbi.nlm.nih.gov/34845024/,Proc Natl Acad Sci U S A,Rybarski JR; Hu K; Hill AM; Wilke CO; Finkelstein IJ,10.1073/pnas.2112279118
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2022,34545248,A new era in functional genomics screens.,https://pubmed.ncbi.nlm.nih.gov/34545248/,Nat Rev Genet,Przybyla L; Gilbert LA,10.1038/s41576-021-00409-w
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020,31393554,RICOPILI: Rapid Imputation for COnsortias PIpeLIne.,https://pubmed.ncbi.nlm.nih.gov/31393554/,Bioinformatics,Lam M; Awasthi S; Watson HJ; Goldstein J; Panagiotaropoulou G,10.1093/bioinformatics/btz633
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2024,38969724,CRISPRdelight illuminates non-repetitive genomic loci in living cells.,https://pubmed.ncbi.nlm.nih.gov/38969724/,Nat Methods,,10.1038/s41592-024-02352-0
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,32926379,Chimeric DNA-RNA Guide RNA Designs.,https://pubmed.ncbi.nlm.nih.gov/32926379/,Methods Mol Biol,Lu S; Zhang Y; Yin H,10.1007/978-1-0716-0687-2_6
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2023,36534120,"Going broad and deep: sequencing-driven insights into plant physiology, evolution, and crop domestication.",https://pubmed.ncbi.nlm.nih.gov/36534120/,Plant J,Gui S; Martinez-Rivas FJ; Wen W; Meng M; Yan J,10.1111/tpj.16070
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,40856885,Genome-wide association studies in forestry.,https://pubmed.ncbi.nlm.nih.gov/40856885/,Mol Biol Rep,Meng X; Fu Y; Qi Y; Jin Z; Li P,10.1007/s11033-025-10952-y
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2024,39034325,Host cell CRISPR genomics and modelling reveal shared metabolic vulnerabilities in the intracellular development of Plasmodium falciparum and related hemoparasites.,https://pubmed.ncbi.nlm.nih.gov/39034325/,Nat Commun,Maurizio M; Masid M; Woods K; Caldelari R; Doench JG,10.1038/s41467-024-50405-x
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2023,37308672,Single-cell CRISPR screen for GWAS loci.,https://pubmed.ncbi.nlm.nih.gov/37308672/,Nat Genet,Faial T,10.1038/s41588-023-01432-9
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,34406047,CRISPRclassify: Repeat-Based Classification of CRISPR Loci.,https://pubmed.ncbi.nlm.nih.gov/34406047/,CRISPR J,Nethery MA; Korvink M; Makarova KS; Wolf YI; Koonin EV,10.1089/crispr.2021.0021
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,40205616,Integration of functional genomics and statistical fine-mapping systematically characterizes adult-onset and childhood-onset asthma genetic associations.,https://pubmed.ncbi.nlm.nih.gov/40205616/,Genome Med,Zhong X; Mitchell R; Billstrand C; Thompson EE; Sakabe NJ,10.1186/s13073-025-01459-z
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2024,38689000,Leveraging functional genomic annotations and genome coverage to improve polygenic prediction of complex traits within and between ancestries.,https://pubmed.ncbi.nlm.nih.gov/38689000/,Nat Genet,Zheng Z; Liu S; Sidorenko J; Wang Y; Lin T,10.1038/s41588-024-01704-y
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2022,35574596,Developments in high-throughput functional epigenomics: CRISPR-single-cell assay for transposase-accessible chromatin using sequencing screens.,https://pubmed.ncbi.nlm.nih.gov/35574596/,Epigenomics,E Yan R; P Greenfield J; Dahmane N,10.2217/epi-2022-0093
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,33913466,Using CRISPR to understand and manipulate gene regulation.,https://pubmed.ncbi.nlm.nih.gov/33913466/,Development,Akinci E; Hamilton MC; Khowpinitchai B; Sherwood RI,10.1242/dev.182667
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2024,38809084,CRISPRi functional genomics in bacteria and its application to medical and industrial research.,https://pubmed.ncbi.nlm.nih.gov/38809084/,Microbiol Mol Biol Rev,Enright AL; Heelan WJ; Ward RD; Peters JM,10.1128/mmbr.00170-22
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020,32313254,CRISPR off-target detection with DISCOVER-seq.,https://pubmed.ncbi.nlm.nih.gov/32313254/,Nat Protoc,Wienert B; Wyman SK; Yeh CD; Conklin BR; Corn JE,10.1038/s41596-020-0309-5
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,39631148,The promise of CRISPR-associated transposons for bacterial functional genomics.,https://pubmed.ncbi.nlm.nih.gov/39631148/,Curr Opin Microbiol,Banta AB; Cuellar RA; Nadig N; Davis BC; Peters JM,10.1016/j.mib.2024.102563
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020,33346707,CRISPR Arrays Away from cas Genes.,https://pubmed.ncbi.nlm.nih.gov/33346707/,CRISPR J,Shmakov SA; Utkina I; Wolf YI; Makarova KS; Severinov KV,10.1089/crispr.2020.0062
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2022,35271371,CRISPR-Mediated Synergistic Epigenetic and Transcriptional Control.,https://pubmed.ncbi.nlm.nih.gov/35271371/,CRISPR J,Dominguez AA; Chavez MG; Urke A; Gao Y; Wang L,10.1089/crispr.2021.0099
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2022,35985010,Genomic Variants Disrupt miRNA-mRNA Regulation.,https://pubmed.ncbi.nlm.nih.gov/35985010/,Chem Biodivers,Xi E; Bai J; Zhang K; Yu H; Guo Y,10.1002/cbdv.202200623
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020,32075565,Mobile genomics: tools and techniques for tackling transposons.,https://pubmed.ncbi.nlm.nih.gov/32075565/,Philos Trans R Soc Lond B Biol Sci,O'Neill K; Brocks D; Hammell MG,10.1098/rstb.2019.0345
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2023,36897113,Translating non-coding genetic associations into a better understanding of immune-mediated disease.,https://pubmed.ncbi.nlm.nih.gov/36897113/,Dis Model Mech,Stankey CT; Lee JC,10.1242/dmm.049790
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2026,41270742,A microscopy-based CRISPR screening platform enables organellar functional genomics and illuminates ciliary biology.,https://pubmed.ncbi.nlm.nih.gov/41270742/,Dev Cell,Sun J; Atiş IS; Empke SLL; Khokha MK; Breslow DK,10.1016/j.devcel.2025.10.015
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,33152605,High-Throughput Functional Genomics for Energy Production.,https://pubmed.ncbi.nlm.nih.gov/33152605/,Curr Opin Biotechnol,Fenster JA; Eckert CA,10.1016/j.copbio.2020.09.010
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,40770768,Identification of replicative aging and inflammatory aging signatures via whole-genome CRISPRi screens.,https://pubmed.ncbi.nlm.nih.gov/40770768/,Genome Biol,Wu L; Zhu X; Liu Y; Zhao D; Yu BC,10.1186/s13059-025-03683-7
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,34638922,Achievements and Challenges of Genomics-Assisted Breeding in Forest Trees: From Marker-Assisted Selection to Genome Editing.,https://pubmed.ncbi.nlm.nih.gov/34638922/,Int J Mol Sci,Ahmar S; Ballesta P; Ali M; Mora-Poblete F,10.3390/ijms221910583
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020,31925399,Recording transcriptional histories using Record-seq.,https://pubmed.ncbi.nlm.nih.gov/31925399/,Nat Protoc,Tanna T; Schmidt F; Cherepkova MY; Okoniewski M; Platt RJ,10.1038/s41596-019-0253-4
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,40745002,Live genome imaging by CRISPR engineering: progress and problems.,https://pubmed.ncbi.nlm.nih.gov/40745002/,Exp Mol Med,Park EJ; Kim H,10.1038/s12276-025-01498-x
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,39694036,Bridging genomics' greatest challenge: The diversity gap.,https://pubmed.ncbi.nlm.nih.gov/39694036/,Cell Genom,Corpas M; Pius M; Poburennaya M; Guio H; Dwek M,10.1016/j.xgen.2024.100724
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,34509299,Deciphering pathogenicity of variants of uncertain significance with CRISPR-edited iPSCs.,https://pubmed.ncbi.nlm.nih.gov/34509299/,Trends Genet,Guo H; Liu L; Nishiga M; Cong L; Wu JC,10.1016/j.tig.2021.08.009
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020,32603690,Regulation of inflammation in diabetes: From genetics to epigenomics evidence.,https://pubmed.ncbi.nlm.nih.gov/32603690/,Mol Metab,Diedisheim M; Carcarino E; Vandiedonck C; Roussel R; Gautier JF,10.1016/j.molmet.2020.101041
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2023,37828440,Sequence-based GWAS meta-analyses for beef production traits.,https://pubmed.ncbi.nlm.nih.gov/37828440/,Genet Sel Evol,Sanchez MP; Tribout T; Kadri NK; Chitneedi PK; Maak S,10.1186/s12711-023-00848-5
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,34043288,CRISPR Screens in Toxicology Research: An Overview.,https://pubmed.ncbi.nlm.nih.gov/34043288/,Curr Protoc,Sobh A; Russo M; Vulpe CD,10.1002/cpz1.136
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020,32220383,Cas9HF1 enhanced specificity in Ustilago maydis.,https://pubmed.ncbi.nlm.nih.gov/32220383/,Fungal Biol,Zuo W; Depotter JR; Doehlemann G,10.1016/j.funbio.2020.02.006
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,34296264,Discovery of genomic variation across a generation.,https://pubmed.ncbi.nlm.nih.gov/34296264/,Hum Mol Genet,Trost B; Loureiro LO; Scherer SW,10.1093/hmg/ddab209
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,40931195,Epigenomic landscape of single vascular cells reflects developmental origin and disease risk loci.,https://pubmed.ncbi.nlm.nih.gov/40931195/,Mol Syst Biol,Weldy CS; Kundu S; Monteiro J; Gu W; Pedroza AJ,10.1038/s44320-025-00140-2
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2023,36688751,Comparative genomics reveals the diversity of CRISPR-Cas locus in Azotobacter organisms.,https://pubmed.ncbi.nlm.nih.gov/36688751/,Lett Appl Microbiol,Karmakar K; Kumar S; Roy D; Singh M; Kolte V,10.1093/lambio/ovac004
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2023,36991492,CRISPR screens identify gene targets at breast cancer risk loci.,https://pubmed.ncbi.nlm.nih.gov/36991492/,Genome Biol,Tuano NK; Beesley J; Manning M; Shi W; Perlaza-Jimenez L,10.1186/s13059-023-02898-w
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,40369705,Elucidating the Genetic Underpinnings of Human Musculoskeletal System Aging Through Genomic Structural Equation Modeling.,https://pubmed.ncbi.nlm.nih.gov/40369705/,Clin Genet,Xiong H; Shen P; Luo Q; Zhang L; Li B,10.1111/cge.14766
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2022,36018818,Functional genomic assays to annotate enhancer-promoter interactions genome wide.,https://pubmed.ncbi.nlm.nih.gov/36018818/,Hum Mol Genet,Leung AK; Yao L; Yu H,10.1093/hmg/ddac204
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,40792102,Prevalence and genomic insights into type III-A CRISPR-Cas system acquisition in global Staphylococcus argenteus strains.,https://pubmed.ncbi.nlm.nih.gov/40792102/,Front Cell Infect Microbiol,Chen X; Xu L; Luo Z; Wang L; Wang Z,10.3389/fcimb.2025.1644286
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020,31848781,Genomic methods for measuring DNA replication dynamics.,https://pubmed.ncbi.nlm.nih.gov/31848781/,Chromosome Res,Hulke ML; Massey DJ; Koren A,10.1007/s10577-019-09624-y
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2024,38925657,Application of functional genomics for domestication of novel non-model microbes.,https://pubmed.ncbi.nlm.nih.gov/38925657/,J Ind Microbiol Biotechnol,Bales MK; Vergara MM; Eckert CA,10.1093/jimb/kuae022
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2022,34697476,Functional single-cell genomics of human cytomegalovirus infection.,https://pubmed.ncbi.nlm.nih.gov/34697476/,Nat Biotechnol,Hein MY; Weissman JS,10.1038/s41587-021-01059-3
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,32603681,Translating genomic insights into cardiovascular medicine: Opportunities and challenges of CRISPR-Cas9.,https://pubmed.ncbi.nlm.nih.gov/32603681/,Trends Cardiovasc Med,Zhang Y; Karakikes I,10.1016/j.tcm.2020.06.008
